Ref,Val,Package,PosX,PosY,Rot,Side
"C3","4.7uF","C_0402_1005Metric",13.970000,-21.313000,0.000000,top
"C4","4.7uF","C_0402_1005Metric",3.950000,-19.250000,270.000000,top
"C5","4.7uF","C_0402_1005Metric",7.620000,-1.778000,180.000000,top
"R1","10K","R_0402_1005Metric",4.650000,-17.750000,180.000000,top
"R2","10K","R_0402_1005Metric",2.545000,-7.680000,90.000000,top
"R3","10K","R_0402_1005Metric",2.535000,-8.710000,90.000000,top
"R4","10K","R_0402_1005Metric",13.970000,-19.327000,0.000000,top
"R5","10R","R_0402_1005Metric",4.630000,-15.550000,180.000000,top
"R6","10K","R_0402_1005Metric",6.410000,-15.980000,270.000000,top
"U2","STM32F042F6P6","STM32F042F6P6",9.460000,-20.290000,0.000000,top
"U4","74LVC2G07","SOT-23-6",2.290000,-16.500000,180.000000,top
